Amount Requested,Application Date,Loan Title,Zip Code,State,DTI,EmpLenY,Approved
7000.0,2017-10-01,other,365xx,AL,0.0,0.5,0
27000.0,2017-10-01,debt_consolidation,366xx,AL,21.84,0.5,0
6000.0,2017-10-01,Major purchase,727xx,AR,2.36,0.5,0
3200.0,2017-10-01,Other,850xx,AZ,48.3,0.5,0
35000.0,2017-10-01,debt_consolidation,853xx,AZ,46.56,0.5,0
25000.0,2017-10-01,home_improvement,857xx,AZ,0.0,5.0,0
10000.0,2017-10-01,Debt consolidation,900xx,CA,27.77,0.5,0
14000.0,2017-10-01,Credit card refinancing,900xx,CA,19.44,0.5,0
1000.0,2017-10-01,vacation,907xx,CA,0.0,0.5,0
6000.0,2017-10-01,Debt consolidation,916xx,CA,18.16,0.5,0
1000.0,2017-10-01,credit_card,920xx,CA,1.05,0.5,0
10000.0,2017-10-01,debt_consolidation,923xx,CA,27.45,0.5,0
35000.0,2017-10-01,debt_consolidation,925xx,CA,-1.0,0.5,0
27000.0,2017-10-01,major_purchase,944xx,CA,2.32,0.5,0
15000.0,2017-10-01,Debt consolidation,957xx,CA,25.37,0.5,0
13000.0,2017-10-01,Debt consolidation,959xx,CA,43.73,0.5,0
7500.0,2017-10-01,other,800xx,CO,0.02,0.5,0
30000.0,2017-10-01,credit_card,801xx,CO,33.81,5.0,0
10000.0,2017-10-01,debt_consolidation,802xx,CO,-1.0,0.5,0
10000.0,2017-10-01,Other,064xx,CT,24.52,0.5,0
19000.0,2017-10-01,debt_consolidation,200xx,DC,12.94,0.5,0
4500.0,2017-10-01,debt_consolidation,320xx,FL,43.81,0.5,0
5000.0,2017-10-01,Other,321xx,FL,0.0,0.5,0
7500.0,2017-10-01,Debt consolidation,327xx,FL,35.55,0.5,0
12000.0,2017-10-01,Home improvement,330xx,FL,5.25,0.5,0
10000.0,2017-10-01,other,330xx,FL,14.43,0.5,0
10000.0,2017-10-01,Debt consolidation,331xx,FL,12.05,0.5,0
25000.0,2017-10-01,Debt consolidation,331xx,FL,27.34,0.5,0
20000.0,2017-10-01,Home improvement,335xx,FL,2.38,0.5,0
10000.0,2017-10-01,debt_consolidation,344xx,FL,55.9,0.5,0
10000.0,2017-10-01,debt_consolidation,300xx,GA,0.0,0.5,0
10000.0,2017-10-01,debt_consolidation,301xx,GA,6.89,0.5,0
2600.0,2017-10-01,Debt consolidation,303xx,GA,12.34,0.5,0
5000.0,2017-10-01,Debt consolidation,305xx,GA,56.42,0.5,0
1500.0,2017-10-01,other,313xx,GA,72.07,5.0,0
35000.0,2017-10-01,debt_consolidation,967xx,HI,21.93,0.5,0
6000.0,2017-10-01,Credit card refinancing,832xx,ID,145.3,0.5,0
2000.0,2017-10-01,debt_consolidation,601xx,IL,-1.0,5.0,0
1000.0,2017-10-01,Moving and relocation,606xx,IL,16.52,0.5,0
4200.0,2017-10-01,car,462xx,IN,23.72,5.0,0
10000.0,2017-10-01,Other,666xx,KS,0.6,0.5,0
15000.0,2017-10-01,home_improvement,704xx,LA,11.12,0.5,0
13500.0,2017-10-01,debt_consolidation,714xx,LA,24.76,5.0,0
30000.0,2017-10-01,Debt consolidation,015xx,MA,7.22,0.5,0
1000.0,2017-10-01,home_improvement,027xx,MA,23.6,3.0,0
9675.0,2017-10-01,Car financing,208xx,MD,100.0,0.5,0
35000.0,2017-10-01,debt_consolidation,210xx,MD,-1.0,5.0,0
30000.0,2017-10-01,debt_consolidation,211xx,MD,23.64,0.5,0
2000.0,2017-10-01,medical,481xx,MI,3.47,0.5,0
30000.0,2017-10-01,Credit card refinancing,481xx,MI,25.05,0.5,0
5000.0,2017-10-01,Other,486xx,MI,17.7,0.5,0
10000.0,2017-10-01,other,488xx,MI,12.67,0.5,0
4500.0,2017-10-01,debt_consolidation,550xx,MN,0.6,0.5,0
40000.0,2017-10-01,Credit card refinancing,634xx,MO,100.0,0.5,0
1000.0,2017-10-01,Home buying,638xx,MO,12.71,0.5,0
40000.0,2017-10-01,Credit card refinancing,641xx,MO,320.5,0.5,0
22100.0,2017-10-01,Car financing,650xx,MO,100.0,5.0,0
2000.0,2017-10-01,debt_consolidation,395xx,MS,3.85,0.5,0
32000.0,2017-10-01,Home buying,395xx,MS,0.1,0.5,0
5000.0,2017-10-01,moving,275xx,NC,0.0,1.0,0
10950.0,2017-10-01,Car financing,280xx,NC,100.0,0.5,0
20000.0,2017-10-01,Debt consolidation,282xx,NC,25.54,0.5,0
10000.0,2017-10-01,Car financing,284xx,NC,15.13,0.5,0
28500.0,2017-10-01,other,586xx,ND,13.85,0.5,0
20000.0,2017-10-01,house,681xx,NE,33.27,5.0,0
15000.0,2017-10-01,debt_consolidation,085xx,NJ,11.01,0.5,0
20000.0,2017-10-01,debt_consolidation,088xx,NJ,26.72,0.5,0
2500.0,2017-10-01,major_purchase,088xx,NJ,2.76,5.0,0
1000.0,2017-10-01,Other,871xx,NM,100.0,0.5,0
10000.0,2017-10-01,Home improvement,880xx,NM,21.65,10.0,0
2800.0,2017-10-01,Debt consolidation,880xx,NM,4.2,0.5,0
2800.0,2017-10-01,debt_consolidation,891xx,NV,24.32,0.5,0
6000.0,2017-10-01,Other,898xx,NV,10.22,0.5,0
25000.0,2017-10-01,Debt consolidation,113xx,NY,26.02,0.5,0
7500.0,2017-10-01,home_improvement,121xx,NY,6.9,5.0,0
12700.0,2017-10-01,debt_consolidation,134xx,NY,-1.0,0.5,0
5000.0,2017-10-01,Debt consolidation,145xx,NY,22.26,10.0,0
10000.0,2017-10-01,debt_consolidation,146xx,NY,24.5,0.5,0
1000.0,2017-10-01,debt_consolidation,431xx,OH,32.11,0.5,0
4000.0,2017-10-01,Debt consolidation,433xx,OH,34.51,0.5,0
20000.0,2017-10-01,Medical expenses,441xx,OH,16.74,0.5,0
25000.0,2017-10-01,credit_card,442xx,OH,50.6,5.0,0
